,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
96,4.577035903930664,0.08265783305730358,0.7297272682189941,0.010984119692713493,0.6,100,10,16,0.05,1.0,"{'subsample': 0.6, 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 16, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",0.6666766287798143,0.6887560125139058,0.6973498427448586,0.6924305251922166,0.6987317586889887,0.6887889535839568,0.011613485555318624,32
42,0.8464399814605713,0.013936187986909526,0.20237631797790528,0.010529760646506165,0.6,50,5,6,0.05,0.4,"{'subsample': 0.6, 'n_estimators': 50, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.4}",0.668235484491467,0.6864005739821036,0.6914140405153175,0.6952128738020354,0.7008268823526054,0.6884179710287058,0.01114029505876283,33
23,2.0969162464141844,0.03995743069141287,0.5290609836578369,0.009918372990388932,0.4,100,10,12,0.1,0.4,"{'subsample': 0.4, 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 12, 'learning_rate': 0.1, 'colsample_bytree': 0.4}",0.674783349724396,0.6840139534273112,0.6929173368798982,0.691328249416358,0.698333706255387,0.6882753191406701,0.008151470294145587,34
94,0.7502013683319092,0.007530614565339761,0.15468187332153321,0.005768869590897759,0.4,50,5,4,0.1,0.2,"{'subsample': 0.4, 'n_estimators': 50, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.2}",0.6757202887490718,0.6827856625480673,0.6871593842219723,0.693897358912742,0.7007987819148026,0.6880722952693311,0.00868618196877786,35
22,1.9274210929870605,0.023914393597621587,0.5080644130706787,0.009993186359770813,0.4,100,10,12,0.1,0.2,"{'subsample': 0.4, 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 12, 'learning_rate': 0.1, 'colsample_bytree': 0.2}",0.673179487560011,0.684192135600418,0.689578579052816,0.6898106944912182,0.6994414674102276,0.6872404728229382,0.008578353169132327,36
82,0.7959363460540771,0.029721047230296102,0.19918403625488282,0.009933057192837982,1.0,50,10,6,0.05,0.6,"{'subsample': 1.0, 'n_estimators': 50, 'min_child_weight': 10, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",0.6601495401464978,0.6889548228823422,0.6898357754019853,0.6959965010017524,0.7005068695667065,0.6870887017998568,0.014114838750027775,37
6,4.471467638015747,0.08626581231988763,0.6910813331604004,0.015276523690517765,0.6,100,5,16,0.05,0.2,"{'subsample': 0.6, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 16, 'learning_rate': 0.05, 'colsample_bytree': 0.2}",0.6812993308679196,0.6791224398120745,0.6882604327798484,0.6857898489094885,0.6985459693024265,0.6866036043343515,0.006784253813590348,38
98,2.2656455516815184,0.04046733754978788,0.35495638847351074,0.00823705003123159,0.6,50,5,12,0.05,1.0,"{'subsample': 0.6, 'n_estimators': 50, 'min_child_weight': 5, 'max_depth': 12, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",0.662231840595535,0.6858194684729371,0.6970613266511789,0.6892211503884289,0.6978372195236111,0.6864342011263381,0.012937262949920073,39
75,3.3410767555236816,0.09868621105750529,0.36701130867004395,0.011596509015010071,1.0,50,1,12,0.05,0.6,"{'subsample': 1.0, 'n_estimators': 50, 'min_child_weight': 1, 'max_depth': 12, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",0.662549928052462,0.6873253609791486,0.6924051474659375,0.6939225425673401,0.6957642542795659,0.6863934466688908,0.012247625982950264,40
80,0.8140735149383544,0.01479265329435423,0.19969072341918945,0.008573935484652385,0.6,50,1,6,0.05,0.8,"{'subsample': 0.6, 'n_estimators': 50, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",0.6598617385790062,0.6879149198245862,0.6905894356509678,0.6915570313882404,0.7017198860685072,0.6863286023022616,0.014038476171811939,41
